"","IYR","IMO","RAILROAD","INCDTNO","IYR2","IMO2","RR2","INCDTNO2","IYR3","IMO3","RR3","INCDTNO3","DUMMY1","GXID","YEAR","MONTH","DAY","TIMEHR","TIMEMIN","AMPM","TYPE","CARS","CARSDMG","CARSHZD","EVACUATE","DIVISION","STATION","MILEPOST","STATE","TEMP"
"39",25,11,"GDLK","251125005",NA,NA,"","",25,11,"GDLK","251125005","","536517J",25,11,25,9,22,"AM",7,0,0,0,"0","","PORTAGE","46.2",26,46
"40",25,11,"CAGY","CAG528925",NA,NA,"","",25,11,"CAGY","CAG528925","","",25,11,6,2,20,"AM",4,0,0,0,"0","","COLUMBUS","919",28,45
"41",25,11,"ATK","189812",NA,NA,"","",25,11,"CSX","000228090","","340161H",25,11,6,8,13,"PM",7,0,0,0,"0","","GAUTIER","0712.0",28,65
"42",25,11,"KCT","U25112161",25,11,"UP","1125HL022",25,11,"UP","1125HL022","","",25,11,21,11,40,"PM",1,0,0,0,"0","","KANSAS CITY","1.94",20,44
"43",25,11,"ATK","189795",NA,NA,"","",NA,NA,"UP","","","",25,11,6,9,14,"AM",13,0,0,0,"0","","MINOT","0000.0",38,42
"44",25,11,"SKOL","251113001",NA,NA,"","",25,11,"SKOL","251113001","","",25,11,13,4,0,"AM",1,0,0,0,"0","","CHERRYVALE","385.4",20,58
"45",25,11,"CSX","000228336",NA,NA,"","",25,11,"CSX","000228336","","",25,11,23,9,25,"PM",13,0,0,0,"0","","PHILADELPHIA","1",42,50
"46",25,11,"CSX","000228090",25,11,"ATK","189812",25,11,"CSX","000228090","","340161H",25,11,6,8,13,"PM",7,0,0,0,"0","","GAUTIER","0712.0",28,65
"47",25,11,"NS","161660",NA,NA,"","",25,11,"NS","161660","","",25,11,7,9,16,"AM",12,9,0,0,"0","","CONWAY","PC023.",42,48
"48",25,11,"BNSF","PR1125108",NA,NA,"","",25,11,"BNSF","PR1125108","","",25,11,16,11,10,"PM",13,0,0,0,"0","","CHEYENNE","119.6",56,45
"49",25,11,"RBMN","R11202502",NA,NA,"","",25,11,"RBMN","R11202502","","",25,11,20,2,30,"PM",1,0,0,0,"0","","TAMAQUA","97.2",42,50
"50",25,11,"UP","1125LA016",NA,NA,"","",25,11,"UP","1125LA016","","",25,11,12,12,30,"PM",9,0,0,0,"0","","LONG BEACH","2.2",6,64
"51",25,11,"RBMN","R11252501",NA,NA,"","",25,11,"RBMN","R11252501","","",25,11,25,10,30,"AM",1,0,0,0,"0","","CRESSONA","1.65",42,40
"52",25,11,"ATK","190157",NA,NA,"","",NA,NA,"UP","","","",25,11,25,12,6,"AM",9,0,0,0,"0","","NORTH LITTLE ROCK","0323.5",5,60
"53",25,11,"SFRV","11122025",NA,NA,"","",25,11,"SFRV","11122025","","628165L",25,11,12,8,28,"AM",7,0,0,0,"0","","BOCA RATON","995.95",12,78
"54",25,11,"ATK","189880",NA,NA,"","",25,11,"CSX","000228143","","628096F",25,11,12,2,25,"PM",7,0,0,0,"0","","WEST PALM BEACH","0960.5",12,73
"55",25,11,"MNCW","86810",NA,NA,"","",25,11,"MNCW","86810","","",25,11,25,12,0,"PM",12,0,0,0,"0","","CROTON ON HUDSON","33.4",36,52
"56",25,11,"ALS","1125AS005",NA,NA,"","",25,11,"ALS","1125AS005","","",25,11,12,7,22,"AM",12,0,0,0,"0","","EAST ST LOUIS","3.49",17,33
"57",25,11,"UP","1125HL002",NA,NA,"","",25,11,"UP","1125HL002","","",25,11,3,12,44,"AM",1,14,0,0,"0","","HUTCHINSON","240.9",20,46
"58",25,11,"NS","161712",NA,NA,"","",25,11,"NS","161712","","",25,11,12,1,15,"PM",1,0,0,0,"0","","CHICAGO","510.5",17,56
"59",25,11,"CSX","000228142",NA,NA,"","",25,11,"CSX","000228142","","",25,11,12,11,12,"AM",9,0,0,0,"0","","FOSTER","627.3",21,50
"60",25,11,"CSX","000228261",NA,NA,"","",25,11,"CSX","000228261","","",25,11,20,11,7,"AM",1,0,0,0,"0","","LAKELAND","856",12,80
"61",25,11,"CSX","000228143",25,11,"ATK","189880",25,11,"CSX","000228143","","628096F",25,11,12,2,25,"PM",7,0,0,0,"0","","WEST PALM BEACH","0960.5",12,73
"62",25,11,"RCPE","RCP318225L",NA,NA,"","",25,11,"SPRQ","INDUSTRY","","",25,11,3,3,0,"PM",9,0,0,0,"0","","TRACY","231.5",27,57
"63",25,11,"BLF","20251725",NA,NA,"","",25,11,"FEC","X55112925","","272592M",25,11,29,7,50,"PM",13,0,0,0,"0","","HALLANDALE","350.56",12,79
"64",25,11,"CSX","000228177",NA,NA,"","",25,11,"CSX","000228177","","279681D",25,11,14,4,56,"AM",7,0,0,0,"0","","LITHONIA","0145.9",13,43
"65",25,11,"NS","161675",NA,NA,"","",25,11,"NS","161675","","",25,11,10,11,20,"AM",13,0,0,0,"0","","DORAVILLE","623.60",13,38
"66",25,11,"CIC","CIC0013F",NA,NA,"","",25,11,"XING","INDUSTRY","","",25,11,14,5,35,"PM",1,1,1,0,"0","","CEDAR RAPIDS","0.6",19,70
"67",25,11,"CSX","000228071",NA,NA,"","",25,11,"CSX","000228071","","",25,11,7,11,35,"AM",12,0,0,0,"0","","CINCINNATI","4",39,50
"68",25,11,"KYLE","KYL329325D",NA,NA,"","",25,11,"KYLE","KYL329325D","","",25,11,22,1,0,"AM",1,0,0,0,"0","","CAWKER CITY","528.5",20,40
"69",25,11,"UP","1125HO016",NA,NA,"","",25,11,"UP","1125HO016","","978290N",25,11,18,6,20,"PM",7,20,0,0,"0","","CONROE","205.45",48,78
"70",25,11,"BNSF","SW1125112",NA,NA,"","",25,11,"BNSF","SW1125112","","",25,11,22,1,15,"AM",1,4,0,0,"0","","FLAGSTAFF","339.9",4,25
"71",25,11,"NS","161608",NA,NA,"","",25,11,"NS","161608","","",25,11,3,4,55,"AM",4,0,0,0,"0","","BELLEVUE","246",39,39
"72",25,11,"UP","1125HL014",NA,NA,"","",25,11,"UP","1125HL014","","",25,11,14,8,0,"PM",9,13,0,0,"0","","WICHITA","481.71",20,56
"73",25,11,"NS","161608",NA,NA,"","",25,11,"NS","161608","","",25,11,3,4,55,"AM",4,2,2,0,"0","","BELLEVUE","246",39,39
"74",25,11,"UP","1125HL031",NA,NA,"","",25,11,"UP","1125HL031","","",25,11,29,9,8,"PM",1,8,3,0,"0","","PERRY","53.75",20,28
"75",25,11,"ATK","190039",NA,NA,"","",25,11,"ATK","190039","","",25,11,17,8,0,"PM",9,0,0,0,"0","","WASHINGTON","0000.0",11,44
"76",25,11,"UP","1125PR003",NA,NA,"","",25,11,"UP","1125PR003","","",25,11,10,12,5,"AM",12,0,0,0,"0","","MELROSE PARK","13.3",17,27
"77",25,11,"ATK","189971",NA,NA,"","",25,11,"ATK","189971","","",25,11,18,6,40,"AM",13,0,0,0,"0","","WASHINGTON","0",11,0
"78",25,11,"CSS","CSS0076F",NA,NA,"","",25,11,"XCCF","INDUSTRY","","",25,11,12,4,37,"PM",1,0,0,0,"0","","BURNS HARBOR","0",18,50
"79",25,11,"NS","161750",NA,NA,"","",25,11,"NS","161750","","",25,11,21,12,38,"AM",12,0,0,0,"0","","ELKHART","CD422.",18,46
"80",25,11,"NS","161750",NA,NA,"","",25,11,"NS","161750","","",25,11,21,12,38,"AM",12,0,0,0,"0","","ELKHART","CD422.",18,46
"81",25,11,"TASD","D20251107A",NA,NA,"","",25,11,"TASD","D20251107A","","",25,11,7,4,10,"AM",1,0,0,0,"0","","MOBILE","",1,61
"82",25,11,"NS","161750",NA,NA,"","",25,11,"NS","161750","","",25,11,21,12,38,"AM",12,0,0,0,"0","","ELKHART","CD422.",18,46
"83",25,11,"BNSF","CH1125112",NA,NA,"","",25,11,"IMRR","IMR334325O","","",25,11,30,6,15,"PM",1,0,0,0,"0","","PEKIN","12.2",17,27
"84",25,11,"UP","1125LA013",NA,NA,"","",25,11,"UP","1125LA013","","",25,11,13,10,30,"AM",1,65,10,0,"0","","LORDSBURG","1148.5",35,58
"85",25,11,"BNSF","RD1125101",NA,NA,"","",25,11,"BNSF","RD1125101","","",25,11,3,8,8,"AM",1,26,4,0,"0","","STREETMAN","220.0",48,58
"86",25,11,"CSX","000228231",NA,NA,"","",25,11,"CSX","000228231","","",25,11,19,1,35,"PM",1,0,0,0,"0","","CUMBERLAND","0178.0",24,48
"87",25,11,"CSX","000228071",NA,NA,"","",25,11,"CSX","000228071","","",25,11,7,11,35,"AM",12,0,0,0,"0","","CINCINNATI","4",39,50
"88",25,11,"ATK","189858",NA,NA,"","",25,11,"ATK","189858","","",25,11,10,8,16,"PM",1,0,0,0,"0","","WASHINGTON","0",11,0
"89",25,11,"BRC","14967",NA,NA,"","",25,11,"BRC","14967","","",25,11,7,1,6,"AM",4,7,0,0,"0","","BEDFORD PARK","9",17,48
"90",25,11,"CNRW","1733020",NA,NA,"","",25,11,"CNRW","1733020","","",25,11,29,6,35,"PM",12,0,0,0,"0","","HARVEY","21",17,29
"91",25,11,"BRC","14967",NA,NA,"","",25,11,"BRC","14967","","",25,11,7,1,6,"AM",4,9,0,0,"0","","BEDFORD PARK","9",17,48
"92",25,11,"UP","1125GP012",NA,NA,"","",25,11,"UP","1125GP012","","",25,11,16,10,7,"AM",13,0,0,0,"0","","FAIRFIELD","242.4",31,47
"93",25,11,"KYLE","KYL321225D",NA,NA,"","",25,11,"KYLE","KYL321225D","","",25,11,9,1,0,"AM",1,0,0,0,"0","","SCANDIA","104.1",20,40
"94",25,11,"UP","1125HL022",25,11,"KCT","U25112161",25,11,"UP","1125HL022","","",25,11,21,11,30,"PM",1,0,0,0,"0","","KANSAS CITY","1.94",20,44
"95",25,11,"UP","1125GP008",NA,NA,"","",25,11,"UP","1125GP008","","",25,11,16,2,37,"AM",1,0,0,0,"0","","HANOVER","165.54",20,40
"96",25,11,"BNSF","CH1125201",NA,NA,"","",25,11,"BNSF","CH1125201","","072288G",25,11,8,10,51,"AM",7,0,0,0,"0","","LITCHFIELD","56.8",17,53
"97",25,11,"CSX","000228149",NA,NA,"","",25,11,"CSX","000228149","","518493A",25,11,13,8,9,"AM",7,0,0,0,"0","","NEW LONDON","0047.3",39,40
"98",25,11,"CSX","000228073",NA,NA,"","",25,11,"CSX","000228073","","",25,11,7,7,30,"AM",1,0,0,0,"0","","SELKIRK","0015.0",36,45
"99",25,11,"LI","86718",NA,NA,"","",25,11,"LI","86718","","",25,11,12,12,30,"PM",1,0,0,0,"0","","RICHMOND HILL","8.5",36,48
"100",25,11,"BNSF","HL1125112",NA,NA,"","",25,11,"BNSF","HL1125112","","",25,11,17,3,35,"AM",1,0,0,0,"0","","NORTH KANSAS CITY","1.9",29,47
"101",25,11,"CNRW","1732888",NA,NA,"","",25,11,"CNRW","1732888","","",25,11,24,10,15,"PM",1,0,0,0,"0","","HARVEY","17.87",17,39
"102",25,11,"NS","161733",NA,NA,"","",25,11,"NS","161733","","718388B",25,11,18,4,8,"PM",7,0,0,0,"0","","CONLEY","162.45",13,68
"103",25,11,"WE","250109",NA,NA,"","",25,11,"WE","250109","","",25,11,26,11,30,"PM",1,0,0,0,"0","","CANTON","63.3",39,50
"104",25,11,"CSX","000228307",NA,NA,"","",25,11,"BEAR","BER342825O","","",25,11,23,7,0,"AM",1,0,0,0,"0","","AYER","316",25,30
"105",25,11,"BLF","20251675",NA,NA,"","",25,11,"FEC","X54111925","","272609N",25,11,19,3,57,"PM",7,0,0,0,"0","","NORTH MIAMI","356.12",12,80
"106",25,11,"UP","1125GC016",NA,NA,"","",25,11,"UP","1125GC016","","",25,11,16,10,14,"PM",12,1,1,0,"0","","BEAUMONT","281.28",48,69
"107",25,11,"UP","1125HO030",NA,NA,"","",25,11,"UP","1125HO030","","",25,11,26,8,27,"AM",1,96,6,0,"0","","HOUSTON","9.37",48,57
"108",25,11,"UP","1125HO002",NA,NA,"","",25,11,"UP","1125HO002","","743204N",25,11,7,12,55,"PM",7,0,0,0,"0","","BRYAN","77.11",48,79
"109",25,11,"UP","1125SX015",NA,NA,"","",25,11,"UP","1125SX015","","",25,11,16,12,19,"PM",1,0,0,0,"0","","SAN ANTONIO","207",48,76
"110",25,11,"UP","1125TO010",NA,NA,"","",25,11,"UP","1125TO010","","",25,11,8,9,16,"PM",1,10,0,0,"0","","FORT WORTH","248.24",48,64
"111",25,11,"BLF","20251655",NA,NA,"","",25,11,"FEC","X53111525","","272375M",25,11,15,7,32,"AM",7,0,0,0,"0","","JUPITER","282.43",12,71
"112",25,11,"CSX","000228142",NA,NA,"","",25,11,"CSX","000228142","","",25,11,12,11,12,"AM",9,0,0,0,"0","","FOSTER","627.3",21,50
"113",25,11,"NS","161683",NA,NA,"","",25,11,"NS","161683","","",25,11,11,5,45,"AM",13,9,1,0,"0","","NEW ORLEANS","NO194.",22,45
"114",25,11,"UP","1125GP002",NA,NA,"","",25,11,"UP","1125GP002","","",25,11,4,11,44,"AM",9,3,3,0,"0","","NORTH PLATTE","288",31,56
"115",25,11,"CAGY","CAG528925",NA,NA,"","",25,11,"CAGY","CAG528925","","",25,11,6,2,20,"AM",4,0,0,0,"0","","COLUMBUS","919",28,45
"116",25,11,"CAGY","CAG528925",NA,NA,"","",25,11,"CAGY","CAG528925","","",25,11,6,2,20,"AM",4,0,0,0,"0","","COLUMBUS","919",28,45
"117",25,11,"BLF","20251582",NA,NA,"","",25,11,"FEC","X51110125","","272101L",25,11,1,1,53,"PM",7,0,0,0,"0","","ROCKLEDGE","175.02",12,83
"118",25,11,"CSX","000228353",25,11,"XCEY","INDUSTRY",25,11,"CSX","000228353","","",25,11,28,7,30,"AM",1,0,0,0,"0","","GREENWOOD","0418.9",45,42
"119",25,11,"MBTA","2665",NA,NA,"","",25,11,"MBTA","2665","","",25,11,5,4,37,"PM",11,0,0,0,"0","","WORCESTER","43.3",25,54
"120",25,11,"CNRW","1733020",NA,NA,"","",25,11,"CNRW","1733020","","",25,11,29,6,35,"PM",12,13,1,0,"0","","HARVEY","21",17,29
"121",25,11,"ALS","1125AS005",NA,NA,"","",25,11,"ALS","1125AS005","","",25,11,12,7,22,"AM",12,0,0,0,"0","","EAST ST LOUIS","3.49",17,33
"122",25,11,"UP","1125GC008",NA,NA,"","",25,11,"UP","1125GC008","","",25,11,8,10,12,"AM",9,0,0,0,"0","","LIVONIA","112.0",22,75
"123",25,11,"CNRW","1733063",25,11,"","190233",25,11,"CNRW","1733063","","",25,11,30,1,38,"PM",1,0,0,0,"0","","JUSTICE","17.5",17,27
"124",25,11,"CNRW","1732669",NA,NA,"","",25,11,"CNRW","1732669","","",25,11,19,10,15,"PM",12,0,0,0,"0","","PROCTOR","0.67",27,40
"125",25,11,"CSX","000228053",NA,NA,"","",25,11,"CSX","000228053","","",25,11,6,3,15,"AM",1,0,0,0,"0","","NATURAL BRIDGE STAT","178.6",51,38
"126",25,11,"FEC","X55112925",25,11,"BLF","20251725",25,11,"FEC","X55112925","","272592M",25,11,29,7,50,"PM",13,0,0,0,"0","","HALLANDALE","350.56",12,79
"127",25,11,"CNRW","1732669",NA,NA,"","",25,11,"CNRW","1732669","","",25,11,19,10,15,"PM",12,0,0,0,"0","","PROCTOR","0.67",27,40
"128",25,11,"FEC","X54111925",25,11,"BLF","20251675",25,11,"FEC","X54111925","","272609N",25,11,19,3,57,"PM",7,0,0,0,"0","","NORTH MIAMI","356.12",12,80
"129",25,11,"UP","1125RM012",NA,NA,"","",25,11,"UP","1125RM012","","",25,11,21,2,55,"AM",9,0,0,0,"0","","OGDEN","992.0",49,40
"130",25,11,"NS","161772",NA,NA,"","",25,11,"NS","161772","","719070F",25,11,22,7,0,"AM",7,17,0,0,"0","","DALTON","037.28",13,60
"131",25,11,"UP","1125GC016",NA,NA,"","",25,11,"UP","1125GC016","","",25,11,16,10,14,"PM",12,1,1,0,"0","","BEAUMONT","281.28",48,69
"132",25,11,"UP","1125PR003",NA,NA,"","",25,11,"UP","1125PR003","","",25,11,10,12,5,"AM",12,0,0,0,"0","","MELROSE PARK","13.3",17,27
"133",25,11,"CUOH","CUO329525D",NA,NA,"","",25,11,"CUOH","CUO329525D","","",25,11,21,10,0,"PM",1,0,0,0,"0","","NEWARK","157.6",39,45
"134",25,10,"BNSF","KS1025108",NA,NA,"","",25,10,"BNSF","KS1025108","","",25,10,11,1,30,"PM",1,0,0,0,"0","","AMARILLO","554.5",48,84
"135",25,10,"ATK","189365",NA,NA,"","",NA,NA,"CSX","","","632423V",25,10,14,1,20,"PM",7,0,0,0,"0","","GREEN POND","0425.0",45,71
"136",25,10,"BNSF","CH1025105",NA,NA,"","",25,10,"BNSF","CH1025105","","",25,10,18,1,33,"AM",1,0,0,0,"0","","GALESBURG","164.6",17,60
"137",25,10,"BNSF","MT1025102",NA,NA,"","",25,10,"BNSF","MT1025102","","",25,10,10,3,40,"AM",1,0,0,0,"0","","LAUREL","12.4",30,38
"138",25,10,"NS","161531",NA,NA,"","",25,10,"NS","161531","","",25,10,24,12,10,"AM",13,0,0,0,"0","","NEW ORLEANS","NO194.",22,75
"139",25,10,"BNSF","MT1025102",NA,NA,"","",25,10,"BNSF","MT1025102","","",25,10,10,3,40,"AM",1,24,1,0,"0","","LAUREL","12.4",30,38
"140",25,10,"UP","1025HL007",NA,NA,"","",25,10,"BNSF","PR1025201","","070197U",25,10,2,9,21,"AM",7,0,0,0,"0","","SYRACUSE","26.2",31,64
"141",25,10,"WE","250097",NA,NA,"","",25,10,"CNRW","1731566","","",25,10,20,5,0,"AM",1,3,0,0,"0","","TOLEDO","1.12",39,57
"142",25,10,"CRSH","147072",NA,NA,"","",25,10,"CRSH","147072","","",25,10,17,5,35,"AM",1,0,0,0,"0","","NEWARK","1",34,56
"143",25,10,"UP","1025NC002",NA,NA,"","",25,10,"UP","1025NC002","","",25,10,1,8,0,"PM",1,0,0,0,"0","","SPARKS","244.49",32,66
"144",25,10,"UP","1025NC031",NA,NA,"","",25,10,"UP","1025NC031","","",25,10,28,1,30,"AM",1,5,0,0,"0","","SPARKS","243.04",32,42
"145",25,10,"BNSF","MT1025101",NA,NA,"","",25,10,"BNSF","MT1025101","","",25,10,2,12,55,"PM",12,0,0,0,"0","","DEER LODGE","40.5",30,60
"146",25,10,"FOXY","251013002",NA,NA,"","",25,10,"FOXY","251013002","","",25,10,13,4,23,"PM",1,0,0,0,"0","","WAUSAU","90.1",55,66
"147",25,10,"NS","161540",NA,NA,"","",25,10,"NS","161540","","",25,10,25,4,43,"AM",12,0,0,0,"0","","BELLEVUE","B244.0",39,33
"148",25,10,"NJTR","202510588",NA,NA,"","",25,10,"NJTR","202510588","","",25,10,1,2,34,"PM",13,0,0,0,"0","","Murray Hill","23.8",34,68
"149",25,10,"CNRW","1730979",NA,NA,"","",25,10,"CNRW","1730979","","",25,10,5,7,27,"PM",12,0,0,0,"0","","JOLIET","0",17,74
"150",25,10,"MBTA","2650",NA,NA,"","",25,10,"MBTA","2650","","",25,10,31,5,10,"AM",9,0,0,0,"0","","WELLESLEY","15.2",25,57
"151",25,10,"NS","161540",NA,NA,"","",25,10,"NS","161540","","",25,10,25,4,43,"AM",12,0,0,0,"0","","BELLEVUE","B244.0",39,33
"152",25,10,"CNRW","1731566",25,10,"WE","XXX",25,10,"CNRW","1731566","","",25,10,20,5,0,"AM",1,0,0,0,"0","","LANG","1.12",39,57
"153",25,10,"CNRW","1730979",NA,NA,"","",25,10,"CNRW","1730979","","",25,10,5,7,27,"PM",12,0,0,0,"0","","JOLIET","0",17,74
"154",25,10,"UP","1025GP015",NA,NA,"","",25,10,"UP","1025GP015","","",25,10,19,1,25,"AM",4,1,1,0,"0","","NORTH PLATTE","286.7",31,29
"155",25,10,"BNSF","TC1025107",NA,NA,"","",25,10,"BNSF","TC1025107","","",25,10,14,4,50,"AM",1,0,0,0,"0","","KAYLOR","609.8",46,50
"156",25,10,"ATK","189101",NA,NA,"","",25,10,"CSX","000227460","","621029M",25,10,1,4,37,"PM",7,0,0,0,"0","","SEVILLE","0727.5",12,80
"157",25,10,"UP","1025GP002",NA,NA,"","",25,10,"UP","1025GP002","","815799X",25,10,2,5,45,"AM",7,0,0,0,"0","","ALDA","154.5",31,60
"158",25,10,"CSX","000227857",NA,NA,"","",25,10,"CSX","000227857","","",25,10,25,3,10,"PM",1,0,0,0,"0","","PROVIDENCE FORGE","0065.0",51,60
"159",25,10,"BNSF","TC1025101",NA,NA,"","",25,10,"ZCHZ","INDUSTRY","","",25,10,2,9,30,"AM",1,0,0,0,"0","","MITCHELL","651.7",46,75
"160",25,10,"FEC","X49101625",25,10,"BLF","20251507",25,10,"FEC","X49101625","","272467A",25,10,16,1,13,"PM",7,0,0,0,"0","","LAKE WORTH","307.07",12,84
"161",25,10,"BLF","20251507",NA,NA,"","",25,10,"FEC","X49101625","","272467A",25,10,16,1,13,"PM",7,0,0,0,"0","","LAKE WORTH","307.07",12,84
